Quality of Living Ranking,City,Country,Population,id,longitude,latitude,prcp,tmax,tmin
27,Adelaide,Australia,"1,276,000",ASN00023090,138.58690000000001,-34.9254,1.3586922677737416,23.07143924302789,12.645105853051058
11,Amsterdam,Netherlands,"1,108,000",NLE00102114,4.9714,52.3844,2.5107531,14.435847647498132,6.9253671894448585
3,Auckland,New Zealand,"1,377,000",NZM00093110,174.8,-37,2.864046692607004,19.327352410415056,11.411455748552523
39,Barcelona,Spain,"5,356,000",SPE00119891,2.1253,41.4192,1.5607223476297967,20.01983947830449,12.236393278154
13,Berlin,Germany,"3,593,000",GME00111445,13.4039,52.4683,1.5866114041698065,14.594498869630746,6.540743531775935
14,Bern,Switzerland,"136,300",SZE00116090,6.95,46.82,2.303652739554666,14.5817703109328,5.319650872817955
34,Boston,United States,"665,984",USW00014739,-71.0671,42.357,3.052538576406172,15.559183673469388,7.28899950223992
36,Brisbane,Australia,"2,275,000",ASN00040913,153.0153,-27.4559,2.9800100452034153,26.40833749375936,16.38942643391521
21,Brussels,Belgium,"2,076,000",BE000006447,4.35,50.8,2.3695390177764386,15.146108374384236,7.7999239832763205
32,Calgary,Canada,"1,392,000",CA003031092,-114.0771,51.0584,1.2834424083769633,11.754150453955901,-0.35136186770428013
28,Canberra,Australia,"439,000",ASN00070015,149.1095,-35.2776,1.6293174767321612,21.204518158421504,5.510050949513664
43,Chicago,United States,"2,713,596",US1ILCK0036,-87.621,41.886,2.120262172284644,NaN,NaN
9,Copenhagen,Denmark,"1,294,000",SWE00138866,12.72,55.9,1.672151898734177,11.43606408706167,3.433373603141045
33,Dublin,Ireland,"1,201,000",EI000003969,-6.3192,53.3639,2.6211295034079845,13.891529745042494,6.1493666975594685
6,Düsseldorf,Germany,"612,178",GME00102268,6.77,51.2969,2.04923921177351,15.182464454976303,6.6078074332751315
46,Edinburgh,United Kingdom,"502,000",UKM00003171,-2.868,56.373,2.0887789638115075,13.5568570237599,2.85906362545018
7,Frankfurt,Germany,"727,000",GME00121246,8.7864,50.0892,1.8438238993710692,15.520698317005778,6.178623461441849
8,Geneva,Switzerland,"171,000",SZ000008440,6.1331,46.25,2.5372279209407056,15.722918756268806,6.370425
