2015 rank,City,State,2015 Estimate,2011 Census,Change,2015 land area,2015 population density,Location
1,Berlin,Berlin,"3,520,031","3,292,365",7000691496841935810♠+6.91%,"891.68 km2
344.28 sq mi","3,948/km2
10,230/sq mi",52°30′26″N 13°8′45″E﻿ / ﻿52.50722°N 13.14583°E﻿ / 52.50722; 13.14583﻿ (1 Berlin)
2,Hamburg,Hamburg,"1,787,408","1,706,696",7000472913746794980♠+4.73%,"755.3 km2
291.6 sq mi","2,366/km2
6,130/sq mi",53°32′55″N 10°00′05″E﻿ / ﻿53.54861°N 10.00139°E﻿ / 53.54861; 10.00139﻿ (2 Hamburg)
3,Munich (München),Bavaria,"1,450,381","1,348,335",7000756829719617160♠+7.57%,"310.7 km2
120.0 sq mi","4,668/km2
12,090/sq mi",48°08′N 11°34′E﻿ / ﻿48.133°N 11.567°E﻿ / 48.133; 11.567﻿ (3 Munich)
4,Cologne (Köln),North Rhine-Westphalia,"1,060,582","1,005,775",7000544923069274940♠+5.45%,"405.02 km2
156.38 sq mi","2,619/km2
6,780/sq mi",50°56′11″N 6°57′10″E﻿ / ﻿50.93639°N 6.95278°E﻿ / 50.93639; 6.95278﻿ (4 Cologne)
5,Frankfurt,Hesse,"732,688","667,925",7000969614851966910♠+9.70%,"248.31 km2
95.87 sq mi","2,951/km2
7,640/sq mi",50°7′N 8°41′E﻿ / ﻿50.117°N 8.683°E﻿ / 50.117; 8.683﻿ (5 Frankfurt)
6,Stuttgart,Baden-Württemberg,"623,738","585,890",7000645991568383140♠+6.46%,"207.35 km2
80.06 sq mi","3,008/km2
7,790/sq mi",48°47′N 9°11′E﻿ / ﻿48.783°N 9.183°E﻿ / 48.783; 9.183﻿ (6 Stuttgart)
7,Düsseldorf,North Rhine-Westphalia,"612,178","586,291",7000441538416929480♠+4.42%,"217.41 km2
83.94 sq mi","2,816/km2
7,290/sq mi",51°14′N 6°47′E﻿ / ﻿51.233°N 6.783°E﻿ / 51.233; 6.783﻿ (7 Düsseldorf)
8,Dortmund,North Rhine-Westphalia,"586,181","571,143",7000263296582467090♠+2.63%,"280.71 km2
108.38 sq mi","2,088/km2
5,410/sq mi",51°31′N 7°28′E﻿ / ﻿51.517°N 7.467°E﻿ / 51.517; 7.467﻿ (8 Dortmund)
9,Essen,North Rhine-Westphalia,"582,624","566,201",7000290056004846340♠+2.90%,"210.34 km2
81.21 sq mi","2,770/km2
7,200/sq mi",51°27′3″N 7°0′47″E﻿ / ﻿51.45083°N 7.01306°E﻿ / 51.45083; 7.01306﻿ (9 Essen)
10,Leipzig,Saxony,"560,472","502,979",7001114304970982880♠+11.43%,"297.8 km2
115.0 sq mi","1,882/km2
4,870/sq mi",51°20′N 12°23′E﻿ / ﻿51.333°N 12.383°E﻿ / 51.333; 12.383﻿ (10 Leipzig)
11,Bremen,Bremen,"557,464","542,707",7000271914679560060♠+2.72%,"326.18 km2
125.94 sq mi","1,709/km2
4,430/sq mi",53°5′N 8°48′E﻿ / ﻿53.083°N 8.800°E﻿ / 53.083; 8.800﻿ (11 Bremen)
12,Dresden,Saxony,"543,825","512,354",7000614243277109190♠+6.14%,"328.48 km2
126.83 sq mi","1,656/km2
4,290/sq mi",51°2′N 13°44′E﻿ / ﻿51.033°N 13.733°E﻿ / 51.033; 13.733﻿ (12 Dresden)
13,Hannover,Lower Saxony,"532,163","506,416",7000508416005813399♠+5.08%,"204.14 km2
78.82 sq mi","2,607/km2
6,750/sq mi",52°22′N 9°43′E﻿ / ﻿52.367°N 9.717°E﻿ / 52.367; 9.717﻿ (13 Hanover)
14,Nuremberg (Nürnberg),Bavaria,"509,975","486,314",7000486537504575230♠+4.87%,"186.38 km2
71.96 sq mi","2,736/km2
7,090/sq mi",49°27′N 11°5′E﻿ / ﻿49.450°N 11.083°E﻿ / 49.450; 11.083﻿ (14 Nuremberg)
15,Duisburg,North Rhine-Westphalia,"491,231","488,468",6999565646060745030♠+0.57%,"232.8 km2
89.9 sq mi","2,110/km2
5,500/sq mi",51°26′6.53″N 6°45′45.69″E﻿ / ﻿51.4351472°N 6.7626917°E﻿ / 51.4351472; 6.7626917﻿ (15 Duisburg)
